scenario,month,trades,win_rate,mean_return_2x
prior7_le_10pct,2026-07,47,0.0851063829787234,-0.08921548349137236
prior7_le_20pct,2026-01,64,0.265625,-0.04233015428096367
prior7_le_20pct,2026-02,43,0.23255813953488372,-0.06933506340055187
prior7_le_20pct,2026-03,58,0.41379310344827586,-0.006548954569670573
prior7_le_20pct,2026-04,58,0.603448275862069,0.10837541995225322
prior7_le_20pct,2026-05,55,0.18181818181818182,-0.05183772286688012
prior7_le_20pct,2026-06,58,0.27586206896551724,-0.03928277462682673
prior7_le_20pct,2026-07,50,0.08,-0.09147831047042097
prior14_le_30pct,2026-01,63,0.2698412698412698,-0.03644535164298748
prior14_le_30pct,2026-02,46,0.2391304347826087,-0.05808773092928047
prior14_le_30pct,2026-03,61,0.39344262295081966,-0.011779622711247079
prior14_le_30pct,2026-04,60,0.6166666666666667,0.10893879736803005
prior14_le_30pct,2026-05,54,0.18518518518518517,-0.054587385275713406
prior14_le_30pct,2026-06,62,0.25806451612903225,-0.04570022613083053
prior14_le_30pct,2026-07,50,0.08,-0.09257396966894295
runup7_le_30pct,2026-01,56,0.26785714285714285,-0.02961933692703661
runup7_le_30pct,2026-02,37,0.24324324324324326,-0.08327247254130121
runup7_le_30pct,2026-03,54,0.42592592592592593,-0.004571414932120464
runup7_le_30pct,2026-04,46,0.6739130434782609,0.15973445669608805
runup7_le_30pct,2026-05,53,0.16981132075471697,-0.07388867390551147
runup7_le_30pct,2026-06,51,0.27450980392156865,-0.03620495827787399
runup7_le_30pct,2026-07,43,0.09302325581395349,-0.08364378566193421
no_recent_5x_volume,2026-01,44,0.2727272727272727,-0.032648350001999046
no_recent_5x_volume,2026-02,32,0.21875,-0.05730652507338977
no_recent_5x_volume,2026-03,50,0.38,-0.011299334002526723
no_recent_5x_volume,2026-04,41,0.6829268292682927,0.17763544298833694
no_recent_5x_volume,2026-05,45,0.15555555555555556,-0.09354092586742141
no_recent_5x_volume,2026-06,49,0.2857142857142857,-0.029124524458395043
no_recent_5x_volume,2026-07,41,0.07317073170731707,-0.08740323628897796
f7c05_signal_volume15,2026-01,10,0.6,0.03550758421456091
f7c05_signal_volume15,2026-02,3,0.3333333333333333,0.11941634263764235
f7c05_signal_volume15,2026-03,13,0.46153846153846156,0.015462665561265517
f7c05_signal_volume15,2026-04,12,0.8333333333333334,0.31828417832934636
f7c05_signal_volume15,2026-05,4,0.25,-0.06911766122035598
f7c05_signal_volume15,2026-06,11,0.09090909090909091,-0.04555000199812748
f7c05_signal_volume15,2026-07,8,0.125,-0.10895847656488303
signal_volume1_flow_signal2,2026-01,12,0.4166666666666667,0.06503938354853665
signal_volume1_flow_signal2,2026-02,9,0.1111111111111111,-0.09806323826049775
signal_volume1_flow_signal2,2026-03,28,0.39285714285714285,-0.03881038890414133
signal_volume1_flow_signal2,2026-04,17,0.8823529411764706,0.3217426733809906
signal_volume1_flow_signal2,2026-05,15,0.2,-0.07912100119451006
signal_volume1_flow_signal2,2026-06,13,0.23076923076923078,-0.01855903372376234
signal_volume1_flow_signal2,2026-07,10,0,-0.11305923511644148
flow10_prior7_20,2026-01,17,0.35294117647058826,-0.04482097458429516
flow10_prior7_20,2026-02,6,0.16666666666666666,-0.10859168892690646
flow10_prior7_20,2026-03,11,0.18181818181818182,-0.12834784268466493
flow10_prior7_20,2026-04,12,0.3333333333333333,-0.03199820907341061
flow10_prior7_20,2026-05,7,0.14285714285714285,-0.12733710377019133
flow10_prior7_20,2026-06,10,0,-0.10090724238197753
flow10_prior7_20,2026-07,4,0.25,-0.11854939947865202
f7c02_flow10_prior7_20,2026-01,15,0.3333333333333333,-0.05661499953852412
f7c02_flow10_prior7_20,2026-02,6,0.16666666666666666,-0.10859168892690646
f7c02_flow10_prior7_20,2026-03,11,0.18181818181818182,-0.12834784268466493
f7c02_flow10_prior7_20,2026-04,9,0.3333333333333333,-0.021158881418781913
f7c02_flow10_prior7_20,2026-05,5,0,-0.16812529552292055
f7c02_flow10_prior7_20,2026-06,9,0,-0.0930363356342262
f7c02_flow10_prior7_20,2026-07,3,0.3333333333333333,-0.1020469980470077
flow10_prior7_20_no5x,2026-01,9,0.4444444444444444,0.010506800957123166
flow10_prior7_20_no5x,2026-02,3,0,-0.1427683355174415
flow10_prior7_20_no5x,2026-03,9,0.2222222222222222,-0.11926459552439388
flow10_prior7_20_no5x,2026-04,6,0.5,0.040083458926789224
flow10_prior7_20_no5x,2026-05,6,0.16666666666666666,-0.12622371830760348
flow10_prior7_20_no5x,2026-06,8,0,-0.08318417381309305
flow10_prior7_20_no5x,2026-07,2,0,-0.17238804587266754
