scenario,case_id,symbol,signal_date,entry_time_utc,entry_equity,margin,margin_fraction_of_equity,notional,xsec_score,xsec_rank_pct,entry_fee,exit_pnl_after_exit_fee,exit_events,exit_time_utc,total_net_pnl,return_on_allocated_margin
classifier_k5_invvol_tophalf,293-RED-2026-05-07,RED,2026-05-07,2026-05-08T00:00:00+00:00,1.4046352235163653,0.3112713866719757,0.22160300515085943,0.6225427733439514,-0.10032399126421639,0.3333333333333333,0.0012450855466879028,-0.05242072899356935,1,2026-05-14T03:50:00+00:00,-0.053665814540257255,-0.17240844111640566
classifier_k5_invvol_tophalf,296-ZEC-2026-05-08,ZEC,2026-05-08,2026-05-09T00:00:00+00:00,1.4781627335385432,0.20859897501934066,0.14112043977727667,0.4171979500386813,0.188475692628069,1.0,0.0008343959000773626,-0.038783827482929245,1,2026-05-10T20:50:00+00:00,-0.03961822338300661,-0.18992530226638615
classifier_k5_invvol_tophalf,302-ORCA-2026-05-10,ORCA,2026-05-10,2026-05-11T00:00:00+00:00,1.4626203451473665,0.25032358405853933,0.1711473417480173,0.5006471681170787,-0.053183546551528106,0.0,0.0010012943362341573,-0.04271401701122304,1,2026-05-13T12:40:00+00:00,-0.0437153113474572,-0.17463520871143398
classifier_k5_invvol_tophalf,306-COOKIE-2026-05-11,COOKIE,2026-05-11,2026-05-12T00:00:00+00:00,1.4638290895453103,0.3416094571600986,0.233367036903337,0.6832189143201972,0.04810337656880597,1.0,0.0013664378286403944,-0.06002406012254353,1,2026-05-13T12:40:00+00:00,-0.061390497951183925,-0.1797095972153156
classifier_k5_invvol_tophalf,311-SAPIEN-2026-05-13,SAPIEN,2026-05-13,2026-05-14T00:00:00+00:00,1.2117506783076688,0.1696167006836969,0.13997656755644125,0.3392334013673938,-0.11335590573242427,0.0,0.0006784668027347877,-0.004366046484196328,2,2026-05-18T04:00:00+00:00,-0.005044513286931116,-0.02974066390041497
classifier_k5_invvol_tophalf,313-WOO-2026-05-14,WOO,2026-05-14,2026-05-15T00:00:00+00:00,1.2739375367037444,0.25978549453128225,0.20392325922310559,0.5195709890625645,-0.0012017011552765014,0.5,0.001039141978125129,-0.042391104599759324,1,2026-05-16T06:25:00+00:00,-0.043430246577884454,-0.1671773347324239
classifier_k5_invvol_tophalf,314-SHELL-2026-05-14,SHELL,2026-05-14,2026-05-15T00:00:00+00:00,1.2739375367037444,0.22073064600266978,0.17326645902420013,0.44146129200533957,0.16562610077909537,1.0,0.0008829225840106792,-0.04176971036052201,1,2026-05-15T14:00:00+00:00,-0.04265263294453269,-0.19323385183232236
classifier_k5_invvol_tophalf,315-TNSR-2026-05-15,TNSR,2026-05-15,2026-05-16T00:00:00+00:00,1.106165953094832,0.18031915341430438,0.16301274949731304,0.36063830682860876,-0.027466363326446804,0.0,0.0007212766136572176,-0.030294718679144187,1,2026-05-28T03:30:00+00:00,-0.031015995292801406,-0.1720061053167132
classifier_k5_invvol_tophalf,318-TOWNS-2026-05-16,TOWNS,2026-05-16,2026-05-17T00:00:00+00:00,1.066043882933477,0.2033472827732464,0.19074944852522138,0.4066945655464928,0.00014825833131449314,1.0,0.0008133891310929856,0.028777980443017662,2,2026-05-20T12:05:00+00:00,0.027964591311924678,0.13752134245682612
classifier_k5_invvol_tophalf,320-SSV-2026-05-17,SSV,2026-05-17,2026-05-18T00:00:00+00:00,1.059046958336254,0.17753920619148295,0.16764054208738224,0.3550784123829659,-0.000257227011266412,0.5,0.0007101568247659317,-0.026300273561539668,2,2026-05-28T04:25:00+00:00,-0.0270104303863056,-0.15213783459848187
