case_id,symbol,signal_date,entry_date,executed_independent,executed_shared,right_censored_mark,target_return_2x,profitable,f7c_share,flow_to_signal_volume,flow_to_median20_volume,flow_to_prior7_volume,rank_pct,signal_volume_ratio20,return_3d,return_7d,return_14d,return_30d,recent_7d_runup,distance_20d_high,recent_5x_volume,prior7_max_volume_ratio,signal_day_return,signal_range_pct,market_median_return_7d,market_positive_breadth_7d,market_median_return_30d,market_positive_breadth_30d,available_history_days_from_2025
137-ZORA-2026-03-05,ZORA,2026-03-05,2026-03-06,True,False,False,0.01546854791299206,1,0.001432610383856476,0.08280277654901294,0.06715007165279761,0.009843358805272037,0.10059171597633136,0.8109640093173673,-0.03682719546742197,-0.1090146750524108,-0.1920152091254752,-0.30270713699753893,0.03039832285115307,-0.30612244897959184,0,0.9620317634630234,-0.018475750577367056,0.05625374027528429,-0.007023848415550482,0.4319526627218935,-0.13463166807790006,0.21893491124260356,223
138-ORCA-2026-03-06,ORCA,2026-03-06,2026-03-07,True,False,False,0.004822269807280168,1,0.014625652028842289,0.023212503431266254,0.0565527916106464,0.007144512306619569,0.011834319526627219,2.436307302144421,0.08352668213457082,0.04826038159371504,-0.17926186291739887,0.08857808857808869,0.2581369248035914,-0.3347578347578347,1,10.928351964874958,-0.09671179883945835,0.16702819956616044,-0.01605605021164802,0.38461538461538464,-0.1416040100250625,0.22485207100591717,428
139-BLUR-2026-03-06,BLUR,2026-03-06,2026-03-07,True,False,False,0.02940551795939626,1,0.012784029347246133,0.25099512780432603,0.2460778074129205,0.029067400030373225,0.01775147928994083,0.9804087018165587,-0.016897081413210446,-0.04000000000000015,-0.07156673114119938,-0.14247431889236273,0.04349999999999987,-0.14742451154529312,0,1.8604057730072148,-0.01890648952478291,0.05770248808893608,-0.01605605021164802,0.38461538461538464,-0.1416040100250625,0.22485207100591717,428
140-BICO-2026-03-07,BICO,2026-03-07,2026-03-08,True,True,False,0.4096949505465901,1,0.0019620624563278706,0.00914465872731177,0.021163955405237283,0.0012576987886567443,0.07692307692307693,2.3143515834033526,-0.08654303376129335,-0.08261700095510982,-0.14049217002237124,-0.23800079333597768,0.1728748806112701,-0.22696177062374245,1,11.680231908256255,-0.056483300589390883,0.09447128287707995,-0.046431642304385234,0.2485207100591716,-0.01070472792149868,0.47928994082840237,429
141-TOWNS-2026-03-07,TOWNS,2026-03-07,2026-03-08,True,False,False,0.40291432926829285,1,0.0013330528852930725,0.003879565378510594,0.005299388599555453,0.0005158943677362436,0.08284023668639054,1.3659748148360744,-0.04094764551038321,-0.03074194501921379,-0.08202687569988809,-0.2192857142857143,0.17765297073603303,-0.2534153005464481,0,2.805490473875077,-0.05531547104580825,0.11639871382636646,-0.046431642304385234,0.2485207100591716,-0.01070472792149868,0.47928994082840237,214
142-ZKC-2026-03-07,ZKC,2026-03-07,2026-03-08,False,False,False,,0,0.0011539395800898246,0.08238293758675616,0.030191758282056207,0.004500545548292317,0.09467455621301775,0.3664807199944982,-0.03384798099762465,-0.048538011695906436,-0.0920758928571428,-0.012742718446601908,0.037426900584795364,-0.1937561942517344,0,0.7631385454964132,-0.014297831091724222,0.035223582313264945,-0.046431642304385234,0.2485207100591716,-0.01070472792149868,0.47928994082840237,173
143-ZORA-2026-03-07,ZORA,2026-03-07,2026-03-08,True,False,False,-0.16832560646900277,0,0.0010381381682406043,0.013529736567245619,0.045762731948431536,0.004023812597318885,0.10059171597633136,3.3823815948655906,0.07101616628175522,0.01089918256130784,-0.09335288367546424,-0.15528233151183968,0.10463215258855585,-0.24285714285714288,1,5.658350415358999,0.07723577235772372,0.12403100775193798,-0.046431642304385234,0.2485207100591716,-0.01070472792149868,0.47928994082840237,225
144-ZETA-2026-03-08,ZETA,2026-03-08,2026-03-09,True,True,False,0.014411086384786503,1,0.002737082588311423,0.0568665844618975,0.0373202322446879,0.0015426309809762422,0.05325443786982249,0.6562770139587634,-0.046480231436837105,-0.06487611121619075,-0.0913435030325308,-0.1025594481757125,0.2186495176848875,-0.2326555952196182,1,23.221622228953574,-0.009813739234929009,0.032837038547827824,-0.024216524216524093,0.3609467455621302,-0.1215208034433285,0.1952662721893491,430
145-FARTCOIN-2026-03-09,FARTCOIN,2026-03-09,2026-03-10,True,False,False,0.7073685636856366,1,0.006538427346395441,0.01157717511385462,0.013572710098554515,0.0018799173273434061,0.029585798816568046,1.1723680401371661,-0.06459784673844216,-0.09829059829059827,0.0200276243093922,-0.2640757349277528,0.12759462759462759,-0.26808721506442024,0,1.5970974878905848,0.013726835964310347,0.061634349030470936,-0.03627242909511863,0.3431952662721893,-0.09434546862896986,0.2485207100591716,431
146-TOWNS-2026-03-09,TOWNS,2026-03-09,2026-03-10,False,False,False,,0,0.0012298975148201414,0.008356671674236852,0.004904990833123368,0.0004596450112430126,0.08875739644970414,0.5869550730639781,-0.03543647363872093,-0.007705986959098965,0.01731996353691878,-0.26206744544853433,0.18079430942501484,-0.22821576763485474,0,2.673180286076684,-0.00858750370151018,0.04144144144144146,-0.03627242909511863,0.3431952662721893,-0.09434546862896986,0.2485207100591716,216
