feature,label,quartile,lower_bound,upper_bound,trades,win_rate,mean_return_2x,median_return_2x
flow_to_prior7_volume,7日CEX净流入/此前7日总成交量,2,0.0006098047864617658,0.0020133154253457173,109,0.26605504587155965,-0.053508692000599246,-0.16818143754361484
flow_to_prior7_volume,7日CEX净流入/此前7日总成交量,3,0.0020133154253457173,0.005815230675545898,108,0.3611111111111111,0.01670593498598552,-0.059239021903443476
flow_to_prior7_volume,7日CEX净流入/此前7日总成交量,4,0.005815230675545898,,109,0.25688073394495414,-0.03971843501899769,-0.16657190715482195
rank_pct,横截面排名分位,1,,0.029585798816568046,111,0.27927927927927926,-0.03081122841982778,-0.1579443084455325
rank_pct,横截面排名分位,2,0.029585798816568046,0.05917159763313609,120,0.2833333333333333,-0.030172877697754175,-0.16122295124707048
rank_pct,横截面排名分位,3,0.05917159763313609,0.08284023668639054,114,0.2543859649122807,-0.02831138969035037,-0.16769809371068478
rank_pct,横截面排名分位,4,0.08284023668639054,,90,0.37777777777777777,0.013448879235861409,-0.051154229545681495
signal_volume_ratio20,信号日成交量/此前20日中位数,1,,0.7533825746853313,109,0.3577981651376147,0.018202143534935475,-0.052206711409395826
signal_volume_ratio20,信号日成交量/此前20日中位数,2,0.7533825746853313,1.1290225130983702,109,0.3119266055045872,-0.030559960453537687,-0.1671773347324239
signal_volume_ratio20,信号日成交量/此前20日中位数,3,1.1290225130983702,2.3145963267968783,108,0.3148148148148148,-0.033784102885413454,-0.15594042618725767
signal_volume_ratio20,信号日成交量/此前20日中位数,4,2.3145963267968783,,109,0.1926605504587156,-0.037267943266527576,-0.16896774193548372
return_3d,信号前3日涨幅,1,,-0.0725792034598452,109,0.24770642201834864,-0.06129622738114217,-0.16724511374559461
return_3d,信号前3日涨幅,2,-0.0725792034598452,-0.006807351940095296,109,0.3302752293577982,-0.02565246405869071,-0.12074944071588353
return_3d,信号前3日涨幅,3,-0.006807351940095296,0.06275861472629096,108,0.3333333333333333,-0.023237806474081968,-0.15855968373248006
return_3d,信号前3日涨幅,4,0.06275861472629096,,109,0.26605504587155965,0.026873389856319603,-0.1409626787913233
