case_id,symbol,signal_date,entry_date,exit_time_utc,target_return_2x,profitable,log_f7c_share,rank_pct,log_cluster_amount,signal_open_close_return,return_1d,return_3d,return_7d,range_pct,close_location,volume_ratio_20d,distance_20d_high,volatility_7d,flow_change_cluster_share,positive_flow_days_7d,negative_flow_days_7d,flow_event_count_7d,listing_age_days
010-REZ-2026-01-19,REZ,2026-01-19,2026-01-20,2026-01-25T20:35:00+00:00,-0.17544494968887014,0,-6.50954650664538,0.060240963855421686,22.404848400165093,-0.06252513067953369,-0.06233661773577326,-0.12514071294559104,-0.1599711763646191,0.1629266012155215,0.5523672883787656,0.6315214172087847,-0.25392000000000015,0.037078424572682324,0.0017326914443566478,2,5,103.0,18
012-AGLD-2026-01-20,AGLD,2026-01-20,2026-01-21,2026-01-26T05:45:00+00:00,0.45137846940486936,1,-6.903638485004016,0.060240963855421686,18.067975142999938,-0.08984509466437163,-0.0901582931865107,-0.1632911392405063,-0.11660541262946866,0.11326491828202201,0.043624161073826294,0.8771972630458367,-0.21239201668156082,0.04913684531022523,4.9443460487257796e-05,1,6,144.0,19
013-ACU-2026-01-21,ACU,2026-01-21,2026-01-22,2026-01-22T10:10:00+00:00,0.012348152348541197,1,-3.564899815867139,0.011976047904191617,18.694545628669808,-0.06784172661870513,0.0,0.0,0.0,0.607007061379685,0.2850111856823265,1.0,-0.2700692918708806,0.0,0.028299820535151347,3,0,7.0,0
014-NEWT-2026-01-21,NEWT,2026-01-21,2026-01-22,2026-01-26T07:00:00+00:00,0.21886666110437247,1,-4.977336593336827,0.041916167664670656,20.361479545437053,0.023026315789473673,0.023026315789473673,-0.08708414872798442,-0.10717703349282304,0.052164261931187506,0.6808510638297867,0.9614295979342947,-0.1728723404255319,0.036708184105759725,0.006680324958528236,4,3,42.0,20
016-POPCAT-2026-01-21,POPCAT,2026-01-21,2026-01-22,2026-01-25T17:35:00+00:00,-0.16794516362507084,0,-6.312809064600715,0.059880239520958084,20.268186849397544,0.047306176084099816,0.0459317585301835,-0.07109557109557119,-0.21786064769381752,0.08366533864541825,0.6984126984126964,0.9418685535331193,-0.3069565217391306,0.043463424293072386,0.001499317755172372,4,1,16.0,20
017-VANRY-2026-01-24,VANRY,2026-01-24,2026-01-25,2026-01-25T18:45:00+00:00,-0.17341272482504033,0,-4.714997551534845,0.029585798816568046,20.803793872291948,-0.036193524559891777,-0.03607485840925895,-0.13232849384905254,-0.13011111111111118,0.04707395498392297,0.1475409836065553,1.5846930205289582,-0.32016325112886423,0.06633952180153203,0.009073989409439345,4,1,29.0,23
015-ZKC-2026-01-26,ZKC,2026-01-26,2026-01-27,2026-01-27T09:25:00+00:00,-0.16784574605151192,0,-6.440390088820775,0.05917159763313609,20.745093899302315,-0.03306342780026983,-0.03306342780026983,0.37523992322456823,0.3792107795957651,0.29795597484276715,0.42480211081794217,33.90471501670765,-0.2509147935180345,0.11164383787080376,0.001585397023094473,1,0,84.0,25
020-XPIN-2026-01-28,XPIN,2026-01-28,2026-01-29,2026-02-02T17:05:00+00:00,-0.16856048252079758,0,-5.279444700066519,0.047337278106508875,25.214236710667098,-0.0013060513713539779,-0.00043572984749462584,-0.02382978723404261,-0.03288364249578413,0.09095106186518942,0.649746192893401,1.5569058975594827,-0.1421091997008228,0.021963123312244277,0.005095302337048905,1,1,2.0,27
018-BMT-2026-01-29,BMT,2026-01-29,2026-01-30,2026-01-31T14:40:00+00:00,-0.172928029291735,0,-3.519788601879094,0.011834319526627219,19.596261186746833,-0.08104457451598379,-0.08063063063063058,-0.10717410323709531,-0.09809986743261156,0.12481051035876711,0.2510121457489889,1.5196284884095825,-0.2251328777524677,0.03488030122036286,0.02960569309430001,1,0,8.0,28
019-EUL-2026-01-29,EUL,2026-01-29,2026-01-30,2026-01-31T16:00:00+00:00,-0.15762905034484292,0,-4.596236924407603,0.023668639053254437,16.906411624165347,-0.08918617614269797,-0.08867819297267154,-0.12620320855614986,-0.08202247191011247,0.1665611146295125,0.20912547528517078,1.7710462819218469,-0.4453496266123558,0.16946519537804774,0.015445365440122259,3,1,19.0,28
