case_id,symbol,signal_date,entry_date,decision_time_utc,decision_close_time_ms,execution_time_utc,execution_open_time_ms,execution_price,sold_fraction,cumulative_sold_fraction,reason,score,drawdown,volume_ratio,upper_wick_share,taker_buy_share,failure15,weak1h,regime4h,weak4h_confirmed,mfe_at_decision,active_stop
24-VELVET-2026-03-17,VELVET,2026-03-17,2026-03-18,2026-03-22T08:09:59+00:00,1774166999999,2026-03-22T08:10:00+00:00,1774167000000,0.07756,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7194226833552414,0.15429879045439687,30.291591848119804,0.0,0.4708659749671377,True,True,weak,True,0.14741185296324089,0.0735816
25-BLUAI-2026-03-20,BLUAI,2026-03-20,2026-03-21,2026-03-22T17:24:59+00:00,1774200299999,2026-03-22T17:25:00+00:00,1774200300000,0.006918,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6358658078601227,0.24398775688675112,2.3708706199252987,0.07407407407407364,0.3479510590791753,True,False,strong,False,0.4525246109876151,0.006323192
26-LIGHT-2026-03-20,LIGHT,2026-03-20,2026-03-21,2026-03-23T04:49:59+00:00,1774241399999,2026-03-23T04:50:00+00:00,1774241400000,0.2541,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7570690167459073,0.15171723907969314,4.005736095483928,0.04166666666666972,0.25957925247998387,True,True,weak,False,0.33585746102449887,0.22539800000000002
27-CYS-2026-03-21,CYS,2026-03-21,2026-03-22,2026-03-22T21:34:59+00:00,1774215299999,2026-03-22T21:35:00+00:00,1774215300000,0.6526,1.0,1.0,5m收盘距持仓最高价回撤15%,0.5726714568813568,0.15178687459389217,4.6626904537647516,0.22886597938144332,0.3787556338220633,False,False,strong,False,0.34739975485904373,0.5733844
28-AIA-2026-03-25,AIA,2026-03-25,2026-03-26,2026-03-27T11:34:59+00:00,1774611299999,2026-03-27T11:35:00+00:00,1774611300000,0.0878,1.0,1.0,保护止损,0.8238651841503422,0.16079632465543658,9.114320172403566,0.07476635514018376,0.2913986583750042,True,True,weak,False,0.07867024571546555,0.0891112
29-ZBT-2026-03-25,ZBT,2026-03-25,2026-03-26,2026-03-27T10:54:59+00:00,1774608899999,2026-03-27T10:55:00+00:00,1774608900000,0.06635,1.0,1.0,保护止损,0.6917488512738277,0.08305693753454935,5.630153788093216,0.19999999999997226,0.575761638234407,True,True,weak,True,0.0019385211852671613,0.06644240000000001
30-ZBT-2026-03-31,ZBT,2026-03-31,2026-04-01,2026-04-03T03:39:59+00:00,1775187599999,2026-04-03T03:40:00+00:00,1775187600000,0.09915,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7542203375028573,0.15124539929812553,2.4885803942573035,0.11206896551723437,0.32329013565218206,True,True,strong,False,0.22104933110367897,0.09606272
31-SAFE-2026-04-01,SAFE,2026-04-01,2026-04-02,2026-04-05T13:44:59+00:00,1775396699999,2026-04-05T13:45:00+00:00,1775396700000,0.119,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7443207440315299,0.15684882895670682,5.863761723947522,0.0,0.38135855466574975,True,True,strong,False,0.3639883833494675,0.1037132
32-SOON-2026-04-10,SOON,2026-04-10,2026-04-11,2026-04-11T05:29:59+00:00,1775885399999,2026-04-11T05:30:00+00:00,1775885400000,0.1362,1.0,1.0,5m收盘距持仓最高价回撤15%,0.5323699948713413,0.15446650124069483,1.079927734682859,0.02325581395348582,0.3979123024082855,True,False,strong,False,0.3614864864864864,0.11887360000000001
33-CLO-2026-04-11,CLO,2026-04-11,2026-04-12,2026-04-12T00:19:59+00:00,1775953199999,2026-04-12T00:20:00+00:00,1775953200000,0.0817,1.0,1.0,保护止损,0.4862791332890892,0.10519395134779752,3.64859359293304,0.16550116550116595,0.4463602348779787,False,False,weak,True,0.017051153460380997,0.0825516
