case_id,model_version,symbol,group,signal_date,entry_date,entry_price,initial_atr15m,initial_stop,exit_time_utc,weighted_exit_price,exit_events,last_exit_reason,gross_return_1x,net_return_1x,net_return_2x,mae_1x,mfe_until_exit_1x,theoretical_14d_mfe_1x,mfe_capture_ratio,old_net_return_1x,old_net_return_2x,new_minus_old_2x,right_censored_mark,coverage_ratio,decision_count
42-RAVE-2026-05-13,v2,RAVE,样本内,2026-05-13,2026-05-14,0.6593,0.004835714285714292,0.606556,2026-05-15T14:05:00+00:00,0.6057,1,保护止损,-0.0812983467313817,-0.08496581840111661,-0.16993163680223322,-0.09965114515395113,0.02988017594418335,0.02988017594418335,-2.7208121827411027,-0.16548640925338765,-0.3309728185067753,0.16104118170454207,False,1.0,1
43-BLUAI-2026-05-17,v2,BLUAI,第二批20币,2026-05-17,2026-05-18,0.015805,9.828571428571445e-05,0.014540599999999999,2026-05-19T04:20:00+00:00,0.014482,1,保护止损,-0.08370768744068335,-0.08736554098383431,-0.17473108196766862,-0.12439101550142351,0.0629547611515342,0.0629547611515342,-1.329648241206033,-0.37183121892879856,-0.7436624378575971,0.5689313558899285,False,1.0,1
44-B2-2026-05-15,v2,B2,第二批20币,2026-05-15,2026-05-16,0.6311,0.00282142857142857,0.580612,2026-05-24T08:30:00+00:00,0.60455,2,保护止损,-0.04206940263032799,-0.04589347687132461,-0.09178695374264922,-0.1755664712406909,0.16463318016162254,0.16463318016162254,-0.25553416746871993,0.03404283178216529,0.06808566356433059,-0.15987261730697983,False,1.0,2
45-BLUAI-2026-05-20,v2,BLUAI,第二批20币,2026-05-20,2026-05-21,0.008975,0.0001245000000000001,0.008257,2026-05-24T21:35:00+00:00,0.01106325,4,V2弱趋势分层回撤,0.23267409470752076,0.22775324003802988,0.45550648007605976,-0.08066852367688027,0.4774373259052924,0.6880222841225627,0.33817813765182164,0.20575228373336887,0.41150456746673775,0.044001912609322014,False,1.0,4
46-GWEI-2026-05-22,v2,GWEI,新增样本外,2026-05-22,2026-05-23,0.11674,0.0010814285714285735,0.10740079999999999,2026-05-26T17:55:00+00:00,0.10737,1,保护止损,-0.08026383416138427,-0.08393543562181793,-0.16787087124363587,-0.0911427102963851,0.04985437724858666,0.04985437724858666,-1.60996563573883,-0.05322078132581851,-0.10644156265163703,-0.06142930859199884,False,1.0,1
47-B2-2026-05-27,v2,B2,第二批20币,2026-05-27,2026-05-28,0.5036,0.004192857142857153,0.46331200000000006,2026-05-28T09:55:00+00:00,0.4559,1,保护止损,-0.09471803018268465,-0.09833193026179576,-0.19666386052359153,-0.11417791898332019,0.00853852263701338,0.03971405877680678,-2.385000000000012,-0.11138525173640017,-0.22277050347280034,0.026106642949208808,False,1.0,1
48-ZBT-2026-06-04,v2,ZBT,第二批20币,2026-06-04,2026-06-05,0.12803,0.0017164285714285732,0.1177876,2026-06-05T07:20:00+00:00,0.11541,1,保护止损,-0.09857064750449118,-0.10216916787373476,-0.2043383357474695,-0.11872217449035383,0.0064047488869796165,0.10286651566039207,-0.958238420653,-0.11127117007101162,-0.22254234014202323,0.01820400439455372,False,1.0,1
49-VELVET-2026-06-06,v2,VELVET,样本内,2026-06-06,2026-06-07,0.18493,0.002850714285714286,0.1701356,2026-06-11T20:50:00+00:00,0.5888275000000001,3,V2极端MFE runner回撤10%,2.184056129346239,2.171345326434677,4.342690652869354,-0.004271886659817259,8.490077326555992,9.393121721732546,0.2325165364665788,1.3573391798569086,2.714678359713817,1.6280122931555372,False,1.0,3
50-KGEN-2026-06-10,v2,KGEN,第二批20币,2026-06-10,2026-06-11,0.15793,0.0026985714285714273,0.1452956,2026-06-21T21:10:00+00:00,0.1679,1,V2弱趋势分层回撤,0.06312923447096819,0.05888520559084465,0.1177704111816893,-0.018109288925473144,0.25878553789653647,0.25878553789653647,0.24394421335943248,0.06847130155569328,0.13694260311138656,-0.01917219192969727,False,1.0,1
51-BLUAI-2026-06-10,v2,BLUAI,第二批20币,2026-06-10,2026-06-11,0.011905,0.00011471428571428582,0.0109526,2026-06-13T17:00:00+00:00,0.010863,2,保护止损,-0.08752624947501064,-0.09116885925754553,-0.18233771851509106,-0.2795464090718186,0.15917681646367066,0.4566148677026458,-0.19168506254599008,0.09163479005868985,0.1832695801173797,-0.36560729863247077,False,1.0,2
