project_name,symbol,base_asset,listing_date_utc,listing_age_days,quote_volume_usd,change_24h_pct,intraday_range_pct,trade_count_24h,market_cap_usd,web3_liquidity_usd,chain_id,contract_address,web3_tags,spot_usdt_trading,risk_score
jelly-my-jelly,JELLYJELLYUSDT,JELLYJELLY,2025-03-26,490.5,1456242.55286,5.028,6.990654205607472,38405,56865470.47133349,4325023.707509752,CT_501,FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,Alpha|DEX Paid,False,24.502281009331394
Epic Chain,EPICUSDT,EPIC,2025-03-13,503.8,9878432.26766,9.632,11.696158826068181,303783,25756258.326477237,117772.04207781369,1,0x94314a14df63779c99c0764a30e0cd22fa78fc0e,DEX Paid,True,24.407088723510324
Genius,GENIUSUSDT,GENIUS,2026-04-16,105.0,2311715.4938,-2.99,8.22903629536922,66217,309351919.38884276,1781492.4799517666,56,0x1f12b85aac097e43aa1555b2881e98a51090e9a6,Community Recognized|DEX Paid,True,23.351824497140587
Tutorial,TUTUSDT,TUT,2025-03-20,496.8,2338932.36242,-2.995,10.632183908045988,50283,11814035.46672192,1766892.1962912513,56,0xcaae2a2f939f51d97cdfa9a86e79e3f085b799f3,Fourmeme|Community Recognized,True,23.319853919644196
Cookie DAO,COOKIEUSDT,COOKIE,2025-01-07,568.7,1551290.69498,-3.444,9.078590785907847,25319,5830141.779650997,208807.6072036412,56,0xc0041ef357b183448b235a8ea73ce4e4ec8c265f,Community Recognized,True,22.77612430347638
Prometeus,PROMUSDT,PROM,2025-01-15,560.6,6059006.4143,-5.832,11.46764860599685,110632,38440051.58118822,61684.365587146116,56,0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5,Token Volume Plunging|Community Recognized,True,21.980027432489546
Test Token,TSTUSDT,TST,2025-02-09,535.6,1224646.105409,3.145,8.031481130286377,35898,10431768.605404994,763207.5863324562,56,0x86bb94ddd16efc8bc58e6b056e8df71d9e666429,Fourmeme|Community Recognized,True,21.921794696549156
Pundi X (New),PUNDIXUSDT,PUNDIX,2025-04-30,455.7,2110044.68256,1.485,8.795098706603133,54933,37897197.22122955,11997.078778346187,CT_501,BZAwyAiJMie9PEJwC2haCsGxCnujJj5MQY9btXJeAyrY,Token Volume Plunging,True,21.02736382737544
Grass,GRASSUSDT,GRASS,2024-11-08,628.5,4248843.87881,-3.973,9.506459092414698,91572,310725820.51800835,309532.22677746066,CT_501,Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,Alpha,False,20.93873802266083
Home,HOMEUSDT,HOME,2025-06-10,414.7,13619603.885139,0.096,9.57234212629896,333440,35248243.21697736,68619.44328075566,CT_501,J3umBWqhSjd13sag1E1aUojViWvPYA5dFNyqpKuX3WXj,Token Volume Surging|Community Recognized,True,20.62626131172486
XPL,XPLUSDT,XPL,2025-08-22,341.7,23500457.06765,-4.31,8.636061210911517,409557,207265049.81533548,3449282.9217114556,9745,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,Community Recognized,True,19.581200849343
Brett,BRETTUSDT,BRETT,2024-08-20,708.7,2001855.238346,-4.468,10.411810411810428,40041,39976847.97622667,1806345.8282888085,8453,0x532f27101965dd16442e59d40670faf5ebb142e4,Community Recognized,False,19.272231455225537
Walrus,WALUSDT,WAL,2025-03-27,489.5,1846398.96882,2.466,8.052053680357862,39708,131205561.39826973,968281.5177793783,CT_784,0x356a26eb9e012a68958082340d4c4116e7f55615cf27affcff209cf0ae544f59::wal::WAL,,True,18.976386068116497
Kamino,KMNOUSDT,KMNO,2024-12-20,586.3,1259296.058,-5.011,6.6329398538504725,25997,180497853.53603697,190159.03285028943,CT_501,KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,Community Recognized,True,17.5339162882393
DeXe,DEXEUSDT,DEXE,2024-12-24,582.7,95296390.52874,-6.162,18.849840255591044,1204515,58396016.05586576,106422.14428096068,56,0x6e88056e8376ae7709496ba64d37fa2f8015ce3e,Community Recognized,True,17.430985446988938
Eigen,EIGENUSDT,EIGEN,2024-10-01,666.9,12595592.3614,-3.355,8.485193621867882,170171,333410255.44199264,1287332.615023499,1,0xec53bf9167f50cdeb3ae105f56099aaab9061f83,,True,14.977296452799436
