symbol,interval,activation_mfe,trailing_drawdown,triggered,decision_time_utc,execution_time_utc,execution_price,gross_return,net_return,running_mfe_at_signal,close_drawdown_at_signal,volume_vs_prior20_median,upper_wick_share
VELVET,15m,0.8,0.3,True,2026-06-10T12:15+00:00,2026-06-10T12:30+00:00,0.32325,0.7479586870707833,0.740980808080481,1.568215000270372,-0.3194929885880322,2.3725871267896217,0.005542725173210576
VELVET,15m,1.0,0.02,True,2026-06-08T14:30+00:00,2026-06-08T14:45+00:00,0.36597,0.9789650137890011,0.9710649538537159,1.0423944195100847,-0.030712205454064057,1.5478521503006468,0.40602030101505093
VELVET,15m,1.0,0.03,True,2026-06-08T14:30+00:00,2026-06-08T14:45+00:00,0.36597,0.9789650137890011,0.9710649538537159,1.0423944195100847,-0.030712205454064057,1.5478521503006468,0.40602030101505093
VELVET,15m,1.0,0.05,True,2026-06-08T15:30+00:00,2026-06-08T15:45+00:00,0.36631,0.9808035472881631,0.9728961478977911,1.1086356999945925,-0.06062315681497621,1.5590895655677988,0.16737388024516764
VELVET,15m,1.0,0.08,True,2026-06-08T17:15+00:00,2026-06-08T17:30+00:00,0.35582,0.9240793813875521,0.9163984257732305,1.1518412372248958,-0.10622204352414943,1.4557003080397626,0.08778424114225246
VELVET,15m,1.0,0.1,True,2026-06-08T17:15+00:00,2026-06-08T17:30+00:00,0.35582,0.9240793813875521,0.9163984257732305,1.1518412372248958,-0.10622204352414943,1.4557003080397626,0.08778424114225246
VELVET,15m,1.0,0.12,True,2026-06-08T17:45+00:00,2026-06-08T18:00+00:00,0.34067,0.8421564916454871,0.8348025735151661,1.1518412372248958,-0.14399155651605777,1.6572804795472071,0.03140394088669902
VELVET,15m,1.0,0.15,True,2026-06-08T18:00+00:00,2026-06-08T18:15+00:00,0.33656,0.8199318661115016,0.8126666690411961,1.1518412372248958,-0.15426948786249184,1.6162391655418908,0.035121951219513024
VELVET,15m,1.0,0.2,True,2026-06-08T20:15+00:00,2026-06-08T20:30+00:00,0.30919,0.6719299194289732,0.6652555484931291,1.1518412372248958,-0.2233251243906117,0.6029221857744479,0.12932330827067787
VELVET,15m,1.0,0.25,True,2026-06-09T06:30+00:00,2026-06-09T06:45+00:00,0.29316,0.58524847239496,0.5789201351798106,1.1518412372248958,-0.26463788510830777,4.778165051935596,0.0020605810838654247
VELVET,15m,1.0,0.3,True,2026-06-10T12:15+00:00,2026-06-10T12:30+00:00,0.32325,0.7479586870707833,0.740980808080481,1.568215000270372,-0.3194929885880322,2.3725871267896217,0.005542725173210576
VELVET,15m,2.0,0.02,True,2026-06-10T19:00+00:00,2026-06-10T19:15+00:00,0.59267,2.204834261612502,2.1920405120651467,2.327961931541664,-0.036997920187183064,2.1831488481712746,0.33564268867924457
VELVET,15m,2.0,0.03,True,2026-06-10T19:00+00:00,2026-06-10T19:15+00:00,0.59267,2.204834261612502,2.1920405120651467,2.327961931541664,-0.036997920187183064,2.1831488481712746,0.33564268867924457
VELVET,15m,2.0,0.05,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,2.0,0.08,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,2.0,0.1,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,2.0,0.12,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
