case_id,symbol,signal_date,entry_date,decision_time_utc,decision_close_time_ms,execution_time_utc,execution_open_time_ms,execution_price,sold_fraction,cumulative_sold_fraction,reason,score,drawdown,volume_ratio,upper_wick_share,taker_buy_share,failure15,weak1h,regime4h,weak4h_confirmed,mfe_at_decision,active_stop
10-VELVET-2026-03-17,VELVET,2026-03-17,2026-03-18,2026-03-22T08:09:59+00:00,1774166999999,2026-03-22T08:10:00+00:00,1774167000000,0.07756,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7194226833552414,0.15429879045439687,30.291591848119804,0.0,0.4708659749671377,True,True,weak,True,0.14741185296324089,0.0735816
11-CYS-2026-03-21,CYS,2026-03-21,2026-03-22,2026-03-22T21:34:59+00:00,1774215299999,2026-03-22T21:35:00+00:00,1774215300000,0.6526,1.0,1.0,5m收盘距持仓最高价回撤15%,0.5726714568813568,0.15178687459389217,4.6626904537647516,0.22886597938144332,0.3787556338220633,False,False,strong,False,0.34739975485904373,0.5733844
12-SOON-2026-04-10,SOON,2026-04-10,2026-04-11,2026-04-11T05:29:59+00:00,1775885399999,2026-04-11T05:30:00+00:00,1775885400000,0.1362,1.0,1.0,5m收盘距持仓最高价回撤15%,0.5323699948713413,0.15446650124069483,1.079927734682859,0.02325581395348582,0.3979123024082855,True,False,strong,False,0.3614864864864864,0.11887360000000001
13-CLO-2026-04-11,CLO,2026-04-11,2026-04-12,2026-04-12T00:19:59+00:00,1775953199999,2026-04-12T00:20:00+00:00,1775953200000,0.0817,1.0,1.0,保护止损,0.4862791332890892,0.10519395134779752,3.64859359293304,0.16550116550116595,0.4463602348779787,False,False,weak,True,0.017051153460380997,0.0825516
14-BULLA-2026-04-11,BULLA,2026-04-11,2026-04-12,2026-04-12T16:59:59+00:00,1776013199999,2026-04-12T17:00:00+00:00,1776013200000,0.009208,0.25,0.25,多周期退出评分,0.6126784102825049,0.11195756991321126,0.35929001071119704,0.26027397260273966,0.4121467681378865,True,False,weak,True,0.5223135642982972,0.006839248
14-BULLA-2026-04-11,BULLA,2026-04-11,2026-04-12,2026-04-12T17:14:59+00:00,1776014099999,2026-04-12T17:15:00+00:00,1776014100000,0.009098,0.25,0.5,多周期退出评分,0.65,0.12285438765670209,0.32514285771917933,0.7034220532319386,0.5029178397134136,True,False,weak,True,0.5223135642982972,0.006839248
14-BULLA-2026-04-11,BULLA,2026-04-11,2026-04-12,2026-04-12T17:19:59+00:00,1776014399999,2026-04-12T17:20:00+00:00,1776014400000,0.008597,0.5,1.0,5m收盘距持仓最高价回撤15%,0.5334529472047738,0.17087753134040506,1.781465373268101,0.03817733990147755,0.45415189482449086,True,False,weak,True,0.5223135642982972,0.006839248
15-RAVE-2026-04-21,RAVE,2026-04-21,2026-04-22,2026-04-22T03:59:59+00:00,1776830399999,2026-04-22T04:00:00+00:00,1776830400000,1.38806,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7288040564859641,0.15022255419975383,3.4729201649421535,0.10851865354234883,0.4185614373779783,True,True,weak,True,0.009088100827876033,1.2977660714285715
16-SOON-2026-04-21,SOON,2026-04-21,2026-04-22,2026-04-25T11:44:59+00:00,1777117499999,2026-04-25T11:45:00+00:00,1777117500000,0.2061,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7356424411223652,0.16518218623481784,6.450741392585041,0.026666666666667407,0.41969850541886256,True,True,strong,False,0.4951573849878934,0.1658608
17-EVAA-2026-04-25,EVAA,2026-04-25,2026-04-26,2026-05-03T20:04:59+00:00,1777838699999,2026-05-03T20:05:00+00:00,1777838700000,0.5382,1.0,1.0,5m收盘距持仓最高价回撤15%,0.8438709677419336,0.16558038485412785,18.09564527587778,0.10967741935483409,0.31319585973580394,True,True,weak,True,0.17462632154575286,0.5047119999999999
18-RAVE-2026-05-13,RAVE,2026-05-13,2026-05-14,2026-05-15T14:04:59+00:00,1778853899999,2026-05-15T14:05:00+00:00,1778853900000,0.6057,1.0,1.0,保护止损,0.7831596667570804,0.10780559646539034,17.68483053760763,0.005050505050504512,0.3782908028946821,True,True,weak,True,0.02988017594418335,0.606556
19-GWEI-2026-05-22,GWEI,2026-05-22,2026-05-23,2026-05-26T17:54:59+00:00,1779818099999,2026-05-26T17:55:00+00:00,1779818100000,0.10737,1.0,1.0,保护止损,0.8690647482014359,0.12369451697127942,10.540092073323846,0.1726618705035898,0.2798540816540462,True,True,weak,True,0.04985437724858666,0.10740079999999999
20-VELVET-2026-06-06,VELVET,2026-06-06,2026-06-07,2026-06-07T17:39:59+00:00,1780853999999,2026-06-07T17:40:00+00:00,1780854000000,0.23496,1.0,1.0,5m收盘距持仓最高价回撤15%,0.5322548139966076,0.15363832853025938,1.1207333270895947,0.0972871842843791,0.44612810407862874,True,False,strong,False,0.5011085275509652,0.18566972
21-SIREN-2026-06-15,SIREN,2026-06-15,2026-06-16,2026-06-16T09:19:59+00:00,1781601599999,2026-06-16T09:20:00+00:00,1781601600000,0.0475,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7607591030471295,0.1932203389830508,3.2807982272524416,0.08510638297872432,0.35102056757939193,True,True,weak,True,0.11742424242424243,0.04405714285714286
22-BIRB-2026-06-20,BIRB,2026-06-20,2026-06-21,2026-06-23T06:24:59+00:00,1782195899999,2026-06-23T06:25:00+00:00,1782195900000,0.06521,1.0,1.0,保护止损,0.7945263381095933,0.10656974351940751,30.038637183030886,0.0,0.35821049283561013,True,True,weak,True,0.017017715162505276,0.06595480000000001
23-GWEI-2026-06-23,GWEI,2026-06-23,2026-06-24,2026-06-29T14:29:59+00:00,1782743399999,2026-06-29T14:30:00+00:00,1782743400000,0.2087,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7020552649631848,0.1652,2.1343454799010626,0.6653696498054477,0.49600166425889364,True,False,strong,False,1.0973154362416109,0.1196768
24-BIRB-2026-07-03,BIRB,2026-07-03,2026-07-04,2026-07-04T04:54:59+00:00,1783140899999,2026-07-04T04:55:00+00:00,1783140900000,0.0714,1.0,1.0,保护止损,0.7931793667356204,0.09387289103133334,16.23007623712172,0.028901734104050926,0.3351022563516953,True,True,weak,False,0.011419040287400595,0.0717048
25-ESPORTS-2026-07-09,ESPORTS,2026-07-09,2026-07-10,2026-07-10T00:44:59+00:00,1783644299999,2026-07-10T00:45:00+00:00,1783644300000,0.01926,1.0,1.0,保护止损,0.5737187855514833,0.12573763050385844,3.9346567016630285,0.08620689655172652,0.5410638998152969,True,False,strong,False,0.028478057889822495,0.019706400000000002
26-DEXE-2026-07-22,DEXE,2026-07-22,2026-07-23,2026-07-23T03:09:59+00:00,1784776199999,2026-07-23T03:10:00+00:00,1784776200000,3.719,1.0,1.0,保护止损,0.7862910356182036,0.11349546971864566,13.914121876202698,0.018947368421052428,0.38193186762532605,True,True,weak,True,0.009143407122232938,3.82352
