symbol,signal_date,entry_date,holding_day,date,open,high,low,close,volume,f7c_share,day_high_return,close_return,holding_mfe,close_drawdown_from_holding_high,volume_is_holding_high
CYS,2026-03-21,2026-03-22,14,2026-04-04,0.2553,0.2876,0.2202,0.2216,48882366.0,0.0,-0.49641043600070045,-0.6119768867098583,0.34739975485904373,-0.712020792722547,False
BULLA,2026-04-11,2026-04-12,1,2026-04-12,0.006812,0.012464,0.006688,0.010929,20147778367.0,0.004789866933848129,0.8297122724603638,0.604374633000587,0.8297122724603638,-0.12315468549422337,True
BULLA,2026-04-11,2026-04-12,2,2026-04-13,0.010929,0.012998,0.00811,0.009429,8452029900.0,0.0032008092308312085,0.9081033470346445,0.38417498532002337,0.9081033470346445,-0.2745807047238036,False
BULLA,2026-04-11,2026-04-12,3,2026-04-14,0.009429,0.01019,0.008195,0.00837,2251922280.0,0.002962186868215795,0.4958896065766294,0.22871403405754553,0.9081033470346445,-0.3560547776581011,False
BULLA,2026-04-11,2026-04-12,4,2026-04-15,0.008372,0.008653,0.007434,0.007809,1270454216.0,0.0020341311150714665,0.2702583675866117,0.14635936582501463,0.9081033470346445,-0.39921526388675177,False
BULLA,2026-04-11,2026-04-12,5,2026-04-16,0.007807,0.008987,0.0077,0.008681,1387357289.0,0.000980432639590361,0.31928948913681743,0.2743687610099823,0.9081033470346445,-0.3321280196953378,False
BULLA,2026-04-11,2026-04-12,6,2026-04-17,0.00868,0.008939,0.008002,0.008367,882240171.0,0.00084974788140519,0.3122431004110393,0.22827363476218432,0.9081033470346445,-0.3562855823972919,False
BULLA,2026-04-11,2026-04-12,7,2026-04-18,0.008365,0.00879,0.007125,0.007476,958705977.0,-0.008417131697319447,0.2903699354081031,0.09747504403992946,0.9081033470346445,-0.42483458993691336,False
BULLA,2026-04-11,2026-04-12,8,2026-04-19,0.007477,0.01236,0.00683,0.010406,9908478839.0,-0.004196754794503771,0.8144450968878447,0.5275983558426307,0.9081033470346445,-0.19941529466071695,False
BULLA,2026-04-11,2026-04-12,9,2026-04-20,0.010403,0.012943,0.009087,0.01053,4683374279.0,-0.0034634890046196178,0.900029359953024,0.5458015267175571,0.9081033470346445,-0.18987536544083705,False
BULLA,2026-04-11,2026-04-12,10,2026-04-21,0.010528,0.01105,0.009721,0.009943,1003999793.0,-0.0032248666420042044,0.6221374045801527,0.4596300645918967,0.9081033470346445,-0.2350361594091398,False
BULLA,2026-04-11,2026-04-12,11,2026-04-22,0.009941,0.010228,0.009089,0.00934,629072137.0,-0.007251547097798736,0.5014679976512035,0.3711098062243099,0.9081033470346445,-0.28142791198645944,False
BULLA,2026-04-11,2026-04-12,12,2026-04-23,0.009337,0.011994,0.009218,0.010904,1346626906.0,-0.0061978486224261095,0.7607163828537873,0.6007046388725779,0.9081033470346445,-0.16110170795506995,False
BULLA,2026-04-11,2026-04-12,13,2026-04-24,0.010901,0.011293,0.01023,0.010296,482427360.0,-0.006171858517322614,0.6578097475044038,0.5114503816793892,0.9081033470346445,-0.20787813509770736,False
BULLA,2026-04-11,2026-04-12,14,2026-04-25,0.010298,0.011994,0.006999,0.007813,5251481519.0,-0.005915222775261783,0.7607163828537873,0.14694656488549618,0.9081033470346445,-0.3989075242344975,False
VELVET,2026-06-06,2026-06-07,1,2026-06-07,0.18493,0.2776,0.18414,0.25029,331648569.0,0.006070218147767706,0.5011085275509652,0.35343102795652404,0.5011085275509652,-0.09837896253602307,True
VELVET,2026-06-06,2026-06-07,2,2026-06-08,0.25019,0.39794,0.24729,0.32065,912510815.0,0.0060832532856331945,1.1518412372248958,0.7338993132536633,1.1518412372248958,-0.19422526008946073,True
VELVET,2026-06-06,2026-06-07,3,2026-06-09,0.3207,0.47494,0.26422,0.40681,1010601808.0,0.006094738947326362,1.568215000270372,1.1998053317471475,1.568215000270372,-0.1434496989093359,True
VELVET,2026-06-06,2026-06-07,4,2026-06-10,0.40676,0.9846,0.28531,0.90803,1147063868.0,0.006088772117468717,4.324176715513978,3.910128156599794,4.324176715513978,-0.07776762136908388,True
VELVET,2026-06-06,2026-06-07,5,2026-06-11,0.9074,1.755,0.74407,1.54411,1414322010.0,0.00601256065000634,8.490077326555992,7.349699886443519,8.490077326555992,-0.12016524216524205,True
VELVET,2026-06-06,2026-06-07,6,2026-06-12,1.54474,1.922,0.35286,0.43815,1575201509.0,0.005976654106290803,9.393121721732546,1.3692748607581247,9.393121721732546,-0.7720343392299688,True
VELVET,2026-06-06,2026-06-07,7,2026-06-13,0.43769,0.6435,0.3551,0.4001,1150913576.0,0.0011822726978142598,2.4796950197371976,1.1635213323960416,9.393121721732546,-0.7918314255983351,False
VELVET,2026-06-06,2026-06-07,8,2026-06-14,0.4001,0.5871,0.30242,0.3616,1012250748.0,0.001613375594652638,2.1747147569350562,0.9553344508733033,9.393121721732546,-0.8118626430801249,False
VELVET,2026-06-06,2026-06-07,9,2026-06-15,0.3615,0.3825,0.303,0.3705,332029690.0,0.0018731218158709222,1.0683501865570757,1.0034607689395987,9.393121721732546,-0.8072320499479708,False
VELVET,2026-06-06,2026-06-07,10,2026-06-16,0.3704,0.4663,0.3441,0.4538,665685783.0,0.0018015306160552842,1.521494619585789,1.4539014762342504,9.393121721732546,-0.763891779396462,False
VELVET,2026-06-06,2026-06-07,11,2026-06-17,0.4538,0.4749,0.3276,0.3412,277524298.0,0.0017682388828367357,1.5679987022116473,0.8450224409235927,9.393121721732546,-0.8224765868886577,False
VELVET,2026-06-06,2026-06-07,12,2026-06-18,0.3412,0.6099,0.315,0.4831,609988348.0,0.0018415542394372229,2.2980046504082625,1.6123398042502566,9.393121721732546,-0.7486472424557753,False
VELVET,2026-06-06,2026-06-07,13,2026-06-19,0.4833,0.5275,0.4165,0.4464,323168844.0,0.001745369912051671,1.852430649434921,1.4138863353701399,9.393121721732546,-0.7677419354838709,False
VELVET,2026-06-06,2026-06-07,14,2026-06-20,0.4464,0.5249,0.4325,0.4814,108665044.0,0.0004727855208668978,1.8383712756178014,1.6031471367544476,9.393121721732546,-0.749531737773153,False
