group,factor,factor_name,variant,factor_key,target,target_name,horizon_days,mean_rank_ic,median_rank_ic,ic_std,newey_west_tstat,positive_ic_rate,valid_ic_days,eligible_dates,valid_day_ratio,observations
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,max_gain,窗口最大涨幅,3,0.075605,0.113961,0.296033,2.549452,0.576687,163,207,0.787440,2076
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,max_gain,窗口最大涨幅,5,0.042469,0.056980,0.295878,1.281999,0.540373,161,205,0.785366,2050
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,max_gain,窗口最大涨幅,7,0.012278,0.000000,0.287309,0.342103,0.490566,159,203,0.783251,2024
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,max_gain,窗口最大涨幅,14,-0.009432,0.000000,0.282253,-0.247076,0.447368,152,196,0.775510,1933
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,max_gain,窗口最大涨幅,30,0.067458,0.056980,0.256389,1.376183,0.566176,136,180,0.755556,1730
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,mean_close_deviation,窗口平均收盘偏离,1,-0.034142,-0.056980,0.331200,-1.328200,0.442424,165,209,0.789474,2102
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,mean_close_deviation,窗口平均收盘偏离,3,-0.052506,-0.056980,0.308150,-1.916705,0.423313,163,207,0.787440,2076
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,mean_close_deviation,窗口平均收盘偏离,5,-0.064325,-0.077152,0.300592,-2.329225,0.378882,161,205,0.785366,2050
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,mean_close_deviation,窗口平均收盘偏离,7,-0.078746,-0.089087,0.288365,-2.687365,0.339623,159,203,0.783251,2024
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,mean_close_deviation,窗口平均收盘偏离,14,-0.090239,-0.113961,0.293252,-2.166999,0.348684,152,196,0.775510,1933
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,mean_close_deviation,窗口平均收盘偏离,30,-0.029043,0.000000,0.296751,-0.536023,0.477941,136,180,0.755556,1730
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,volume_price_confirmation,同日量价确认,1,-0.025185,-0.156517,0.301576,-1.039722,0.311688,154,209,0.736842,1965
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,volume_price_confirmation,同日量价确认,3,-0.069273,-0.181186,0.275635,-2.892201,0.333333,162,207,0.782609,2065
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,volume_price_confirmation,同日量价确认,5,-0.100606,-0.190724,0.272165,-4.150143,0.322981,161,205,0.785366,2050
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,volume_price_confirmation,同日量价确认,7,-0.118210,-0.200456,0.266913,-4.635064,0.295597,159,203,0.783251,2024
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,volume_price_confirmation,同日量价确认,14,-0.151081,-0.195618,0.270837,-4.275277,0.276316,152,196,0.775510,1933
F1–F6,F3,F3 活跃地址扩张,异常触发,f3_trigger,volume_price_confirmation,同日量价确认,30,-0.068834,-0.077205,0.306842,-1.088480,0.404412,136,180,0.755556,1730
F1–F6,F4,F4 新地址扩张,连续值,f4_value,max_gain,窗口最大涨幅,1,0.029770,0.016575,0.299702,1.439461,0.502392,209,209,1.000000,2656
F1–F6,F4,F4 新地址扩张,连续值,f4_value,max_gain,窗口最大涨幅,3,-0.004618,-0.018349,0.293531,-0.177938,0.468599,207,207,1.000000,2630
F1–F6,F4,F4 新地址扩张,连续值,f4_value,max_gain,窗口最大涨幅,5,-0.031093,-0.019257,0.281344,-1.077484,0.453659,205,205,1.000000,2604
F1–F6,F4,F4 新地址扩张,连续值,f4_value,max_gain,窗口最大涨幅,7,-0.062970,-0.036699,0.268368,-2.219327,0.438424,203,203,1.000000,2578
F1–F6,F4,F4 新地址扩张,连续值,f4_value,max_gain,窗口最大涨幅,14,-0.110014,-0.107663,0.237735,-3.473501,0.346939,196,196,1.000000,2487
F1–F6,F4,F4 新地址扩张,连续值,f4_value,max_gain,窗口最大涨幅,30,-0.056295,-0.044586,0.233129,-1.327137,0.411111,180,180,1.000000,2279
F1–F6,F4,F4 新地址扩张,连续值,f4_value,mean_close_deviation,窗口平均收盘偏离,1,-0.031525,-0.049451,0.313150,-1.458865,0.430622,209,209,1.000000,2656
F1–F6,F4,F4 新地址扩张,连续值,f4_value,mean_close_deviation,窗口平均收盘偏离,3,-0.051070,-0.060523,0.282500,-2.150560,0.405797,207,207,1.000000,2630
F1–F6,F4,F4 新地址扩张,连续值,f4_value,mean_close_deviation,窗口平均收盘偏离,5,-0.077594,-0.071924,0.267841,-3.058862,0.380488,205,205,1.000000,2604
F1–F6,F4,F4 新地址扩张,连续值,f4_value,mean_close_deviation,窗口平均收盘偏离,7,-0.103317,-0.108646,0.264348,-3.691956,0.344828,203,203,1.000000,2578
F1–F6,F4,F4 新地址扩张,连续值,f4_value,mean_close_deviation,窗口平均收盘偏离,14,-0.104580,-0.113177,0.272146,-3.097676,0.387755,196,196,1.000000,2487
F1–F6,F4,F4 新地址扩张,连续值,f4_value,mean_close_deviation,窗口平均收盘偏离,30,-0.090761,-0.095248,0.271143,-2.564497,0.338889,180,180,1.000000,2279
F1–F6,F4,F4 新地址扩张,连续值,f4_value,volume_price_confirmation,同日量价确认,1,-0.055260,-0.068930,0.307311,-2.523909,0.433673,196,209,0.937799,2493
F1–F6,F4,F4 新地址扩张,连续值,f4_value,volume_price_confirmation,同日量价确认,3,-0.092431,-0.073853,0.276797,-4.215215,0.407767,206,207,0.995169,2619
F1–F6,F4,F4 新地址扩张,连续值,f4_value,volume_price_confirmation,同日量价确认,5,-0.129321,-0.121367,0.269146,-5.523056,0.307317,205,205,1.000000,2604
F1–F6,F4,F4 新地址扩张,连续值,f4_value,volume_price_confirmation,同日量价确认,7,-0.147201,-0.152762,0.262101,-6.099089,0.290640,203,203,1.000000,2578
F1–F6,F4,F4 新地址扩张,连续值,f4_value,volume_price_confirmation,同日量价确认,14,-0.188220,-0.168546,0.238681,-6.983257,0.188776,196,196,1.000000,2487
F1–F6,F4,F4 新地址扩张,连续值,f4_value,volume_price_confirmation,同日量价确认,30,-0.111217,-0.139288,0.232641,-2.672359,0.338889,180,180,1.000000,2279
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,max_gain,窗口最大涨幅,1,0.087144,0.082479,0.299453,3.794395,0.597633,169,209,0.808612,2156
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,max_gain,窗口最大涨幅,3,0.074744,0.077152,0.308646,2.440276,0.574850,167,207,0.806763,2130
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,max_gain,窗口最大涨幅,5,0.037651,0.000000,0.300627,1.152711,0.484848,165,205,0.804878,2104
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,max_gain,窗口最大涨幅,7,-0.000644,0.000000,0.293411,-0.018983,0.453988,163,203,0.802956,2078
